Multi-Category Schedule 2,,,
Category,Family and Type,Level,IfcGUID
Duct Fittings,M_Rectangular Duct Transition - Angle: 45 Degree,Level 1,2R94njNd5C6BKWs2D3HqKG
Duct Fittings,M_Rectangular Duct Transition - Angle: 45 Degree,Level 1,2R94njNd5C6BKWs2D3HqLI
Ducts,Rectangular Duct: Mitered Elbows / Taps,,2R94njNd5C6BKWs2D3HqJg
Duct Fittings,M_Rectangular Duct Elbow - Mitered: Standard,Level 1,2R94njNd5C6BKWs2D3HqJb
Ducts,Rectangular Duct: Mitered Elbows / Taps,,2R94njNd5C6BKWs2D3HqJY
Duct Fittings,M_Rectangular Duct Transition - Angle: 45 Degree,Level 1,2R94njNd5C6BKWs2D3HqJT
Duct Fittings,M_Rectangular Duct Elbow - Mitered: Standard,Level 1,2R94njNd5C6BKWs2D3HqJR
Ducts,Rectangular Duct: Mitered Elbows / Taps,,2R94njNd5C6BKWs2D3HqGg
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,2R94njNd5C6BKWs2D3HqGS
Ducts,Rectangular Duct: Mitered Elbows / Taps,,2R94njNd5C6BKWs2D3HqGT
Duct Fittings,M_Rectangular Duct Elbow - Mitered: Standard,Level 1,2R94njNd5C6BKWs2D3HqGI
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,3FXXyowgLEPuXVJ9634eyd
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,3FXXyowgLEPuXVJ9634eyc
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,3FXXyowgLEPuXVJ9634eyX
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,3FXXyowgLEPuXVJ9634eyW
Ducts,Rectangular Duct: Mitered Elbows / Taps,,3FXXyowgLEPuXVJ9634eyZ
Duct Fittings,M_Rectangular Duct Endcap: Standard,Level 1,3FXXyowgLEPuXVJ9634eyY
Ducts,Rectangular Duct: Mitered Elbows / Taps,,3FXXyowgLEPuXVJ9634eyj
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,3FXXyowgLEPuXVJ9634eyi
Ducts,Rectangular Duct: Mitered Elbows / Taps,,3FXXyowgLEPuXVJ9634eyl
Ducts,Rectangular Duct: Mitered Elbows / Taps,,3FXXyowgLEPuXVJ9634eyk
Ducts,Rectangular Duct: Mitered Elbows / Taps,,3FXXyowgLEPuXVJ9634eye
Ducts,Rectangular Duct: Mitered Elbows / Taps,,3FXXyowgLEPuXVJ9634eyh
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,3FXXyowgLEPuXVJ9634eyg
Duct Fittings,M_Rectangular Duct Transition - Angle: 45 Degree,Level 1,3FXXyowgLEPuXVJ9634ezK
Mechanical Equipment,M_WSHP - Horizontal - High Efficiency - 7-18 kW - Left Return - Right Discharge: 11 kW,Level 1,3FXXyowgLEPuXVJ9634e2A
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,3FXXyowgLEPuXVJ9634e63
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,3FXXyowgLEPuXVJ9634e62
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,3FXXyowgLEPuXVJ9634e6D
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,3FXXyowgLEPuXVJ9634e6C
Ducts,Rectangular Duct: Mitered Elbows / Taps,,3FXXyowgLEPuXVJ9634e6F
Duct Fittings,M_Rectangular Duct Endcap: Standard,Level 1,3FXXyowgLEPuXVJ9634e6E
Ducts,Rectangular Duct: Mitered Elbows / Taps,,3FXXyowgLEPuXVJ9634e69
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,3FXXyowgLEPuXVJ9634e68
Ducts,Rectangular Duct: Mitered Elbows / Taps,,3FXXyowgLEPuXVJ9634e6B
Ducts,Rectangular Duct: Mitered Elbows / Taps,,3FXXyowgLEPuXVJ9634e6q
Ducts,Rectangular Duct: Mitered Elbows / Taps,,3FXXyowgLEPuXVJ9634e6t
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,3FXXyowgLEPuXVJ9634e6s
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,3FXXyowgLEPuXVJ9634e6n
Duct Fittings,M_Rectangular Duct Transition - Angle: 45 Degree,Level 1,3FXXyowgLEPuXVJ9634e6m
Mechanical Equipment,M_WSHP - Horizontal - High Efficiency - 7-18 kW - Left Return - Right Discharge: 11 kW,Level 1,3FXXyowgLEPuXVJ9634e6p
Duct Fittings,M_Rectangular Duct Transition - Angle: 45 Degree,Level 1,3FXXyowgLEPuXVJ9634e5G
Duct Fittings,M_Rectangular Duct Transition - Angle: 45 Degree,Level 1,3FXXyowgLEPuXVJ9634e54
Ducts,Rectangular Duct: Mitered Elbows / Taps,,3FXXyowgLEPuXVJ9634eBU
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,3FXXyowgLEPuXVJ9634eBE
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,3FXXyowgLEPuXVJ9634e87
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,3FXXyowgLEPuXVJ9634e95
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,3FXXyowgLEPuXVJ9634e9y
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,3FXXyowgLEPuXVJ9634e9$
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,3FXXyowgLEPuXVJ9634e9_
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,3FXXyowgLEPuXVJ9634e9v
Ducts,Rectangular Duct: Mitered Elbows / Taps,,3FXXyowgLEPuXVJ9634e9u
Duct Fittings,M_Rectangular Duct Endcap: Standard,Level 1,3FXXyowgLEPuXVJ9634e9x
Ducts,Rectangular Duct: Mitered Elbows / Taps,,3FXXyowgLEPuXVJ9634e9w
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,3FXXyowgLEPuXVJ9634e9b
Ducts,Rectangular Duct: Mitered Elbows / Taps,,3FXXyowgLEPuXVJ9634e9a
Ducts,Rectangular Duct: Mitered Elbows / Taps,,3FXXyowgLEPuXVJ9634e9d
Ducts,Rectangular Duct: Mitered Elbows / Taps,,3FXXyowgLEPuXVJ9634e9c
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,3FXXyowgLEPuXVJ9634e9X
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,3FXXyowgLEPuXVJ9634e9W
Mechanical Equipment,M_WSHP - Horizontal - High Efficiency - 7-18 kW - Left Return - Right Discharge: 11 kW,Level 1,3FXXyowgLEPuXVJ9634e9Y
Duct Fittings,M_Rectangular Duct Transition - Angle: 45 Degree,Level 1,3FXXyowgLEPuXVJ9634e9j
Ducts,Rectangular Duct: Mitered Elbows / Taps,,3FXXyowgLEPuXVJ9634e9i
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,3FXXyowgLEPuXVJ9634e9l
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,3FXXyowgLEPuXVJ9634eES
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,3FXXyowgLEPuXVJ9634eEV
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,3FXXyowgLEPuXVJ9634eEU
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,3FXXyowgLEPuXVJ9634eEP
Ducts,Rectangular Duct: Mitered Elbows / Taps,,3FXXyowgLEPuXVJ9634eEO
Duct Fittings,M_Rectangular Duct Endcap: Standard,Level 1,3FXXyowgLEPuXVJ9634eER
Ducts,Rectangular Duct: Mitered Elbows / Taps,,3FXXyowgLEPuXVJ9634eEQ
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,3FXXyowgLEPuXVJ9634eE5
Ducts,Rectangular Duct: Mitered Elbows / Taps,,3FXXyowgLEPuXVJ9634eE4
Ducts,Rectangular Duct: Mitered Elbows / Taps,,3FXXyowgLEPuXVJ9634eE7
Ducts,Rectangular Duct: Mitered Elbows / Taps,,3FXXyowgLEPuXVJ9634eE6
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,3FXXyowgLEPuXVJ9634eE1
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,3FXXyowgLEPuXVJ9634eE0
Ducts,Rectangular Duct: Mitered Elbows / Taps,,3FXXyowgLEPuXVJ9634eE2
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,3FXXyowgLEPuXVJ9634eED
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,3FXXyowgLEPuXVJ9634eEA
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,3FXXyowgLEPuXVJ9634eEr
Mechanical Equipment,M_WSHP - Horizontal - High Efficiency - 7-18 kW - Left Return - Right Discharge: 11 kW,Level 1,3FXXyowgLEPuXVJ9634eEf
Ducts,Rectangular Duct: Mitered Elbows / Taps,,3FXXyowgLEPuXVJ9634eF8
Duct Fittings,M_Rectangular Duct Endcap: Standard,Level 1,3FXXyowgLEPuXVJ9634eFB
